WKT,Site_ID,Location,Lat,Long
POINT (-6.232088 53.319193),174,Stillorgan Rd @ Anglesea Rd,53.319193,-6.232088
POINT (-6.22239235 53.31365381),175,Stillorgan Rd @ Nutley Lane,53.31365381,-6.22239235
POINT (-6.3066991 53.33676),176,Suir Rd @ Davitt Rd (LUAS),53.33676,-6.3066991
POINT (-6.29661575 53.32568685),177,Sundrive Rd @ Clogher Rd,53.32568685,-6.29661575
POINT (-6.249742617 53.3570282),178,NCR @ Summerhill,53.3570282,-6.249742617
POINT (-6.244531 53.38246),179,Swords Rd @ Collins Av,53.38246,-6.244531
POINT (-6.244285 53.387681),180,Swords Rd @ Larkhill Rd,53.387681,-6.244285
POINT (-6.2462764 53.389748),181,Swords Rd @ Shanowen Rd,53.389748,-6.2462764
POINT (-6.254447 53.350749),182,Gardiner St @ Talbot St,53.350749,-6.254447
POINT (-6.255009 53.347487),183,Tara St @ Georges Quay,53.347487,-6.255009
POINT (-6.255125119 53.34681537),184,Tara St @ Poolbeg St,53.34681537,-6.255125119
POINT (-6.255148 53.345899),185,Tara St @ Townsend St & Peds at Fire Station,53.345899,-6.255148
POINT (-6.283565 53.309842),187,Terenure Cross,53.309842,-6.283565
POINT (-6.252119984 53.34578996),188,Townsend St @ Moss St & ped at Princes St,53.34578996,-6.252119984
POINT (-6.3285548 53.3340389),189,Tyrconnell Rd @ Davitt Rd  (LUAS),53.3340389,-6.3285548
POINT (-6.283928619 53.34700658),190,Watling St Bridge,53.34700658,-6.283928619
POINT (-6.250589226 53.34200521),191,Westland Row @ Lincoln Pl,53.34200521,-6.250589226
POINT (-6.265788537 53.33760485),192,Wexford St @ Kevin St,53.33760485,-6.265788537
POINT (-6.272135 53.345256),193,Winetavern St Bridge,53.345256,-6.272135
POINT (-6.2397428 53.3598561),194,North Strand Rd @ Annesley Pl,53.3598561,-6.2397428
POINT (-6.2589137 53.3468383),196,O'Connell Bridge @ Aston Quay,53.3468383,-6.2589137
POINT (-6.2592774 53.3475808),197,O'Connell St @ Bachelors Walk,53.3475808,-6.2592774
POINT (-6.259644159 53.34838781),198,O'Connell St @ Abbey St  (LUAS),53.34838781,-6.259644159
POINT (-6.260258981 53.34979793),199,O'Connell St @ Henry St & ped at Earl St,53.34979793,-6.260258981
POINT (-6.261080311 53.35194847),200,O'Connell St @ Cathal Brugha St,53.35194847,-6.261080311
POINT (-6.261489034 53.35257079),201,O'Connell St @ Parnell St,53.35257079,-6.261489034
POINT (-6.262915529 53.35182721),202,Parnell st @ Parnell sq & ped at Dominick st,53.35182721,-6.262915529
POINT (-6.2489069 53.352744),203,Amiens St @ Buckingham St,53.352744,-6.2489069
POINT (-6.210360987 53.3865354),204,Ardlea Rd @ School,53.3865354,-6.210360987
POINT (-6.265840567 53.33973268),205,Aungier St @ York St,53.33973268,-6.265840567
POINT (-6.251542787 53.33766189),206,Baggot St @ Pembroke St,53.33766189,-6.251542787
POINT (-6.2455657 53.3593248),207,Ballybough Rd @ Bayview Ave,53.3593248,-6.2455657
POINT (-6.247449 53.358198),208,Ballybough Rd @ Canal Bridge,53.358198,-6.247449
POINT (-6.3605731 53.3428069),209,Ballyfermot Rd @ Drumfin Rd,53.3428069,-6.3605731
POINT (-6.3576219 53.3425553),210,Ballyfermot Rd @ Gala,53.3425553,-6.3576219
POINT (-6.3493363 53.3422509),211,Ballyfermot West Of Roundabout,53.3422509,-6.3493363
POINT (-6.2797357 53.3875653),212,Ballygall Rd East @ Hillcrest Estate,53.3875653,-6.2797357
